Decade,Century,Tried,Deaths,City_old,City,Region,Country,Longitude,Latitude,Part of Europe
1500,1500,2,0,Isny im Allgau,Freiburg,Baden-Wurttemberg,Germany,10.042,47.695,Western Europe
1570,1500,1,0,Isny im Allgau,Freiburg,Baden-Wurttemberg,Germany,10.042,47.695,Western Europe
1590,1500,6,6,Erolzheim,Freiburg,Baden-Wurttemberg,Germany,10.0708,48.0917,Western Europe
1630,1600,1,0,Heidelberg,Freiburg,Baden-Wurttemberg,Germany,8.67243,49.3988,Western Europe
1640,1600,1,0,Heidelberg,Freiburg,Baden-Wurttemberg,Germany,8.67243,49.3988,Western Europe
1340,1300,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1340,1300,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1370,1300,1,0,Regensburg,Mittelfranken,Bayern,Germany,12.1016,49.0134,Western Europe
1370,1300,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1380,1300,1,0,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1380,1300,1,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1380,1300,1,0,Regensburg,Mittelfranken,Bayern,Germany,12.1016,49.0134,Western Europe
1390,1300,1,0,Regensburg,Mittelfranken,Bayern,Germany,12.1016,49.0134,Western Europe
1400,1400,2,0,Regensburg,Mittelfranken,Bayern,Germany,12.1016,49.0134,Western Europe
1410,1400,1,0,Regensburg,Mittelfranken,Bayern,Germany,12.1016,49.0134,Western Europe
1410,1400,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1410,1400,1,0,Landshut,Mittelfranken,Bayern,Germany,12.1469,48.5442,Western Europe
1420,1400,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1420,1400,1,0,Kempten,Mittelfranken,Bayern,Germany,10.3158,47.7286,Western Europe
1420,1400,1,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1430,1400,1,0,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1430,1400,1,0,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1430,1400,1,1,Straubing,Mittelfranken,Bayern,Germany,12.5802,48.8777,Western Europe
1430,1400,2,0,Regensburg,Mittelfranken,Bayern,Germany,12.1016,49.0134,Western Europe
1430,1400,1,0,Regensburg,Mittelfranken,Bayern,Germany,12.1016,49.0134,Western Europe
1440,1400,2,2,Lindau,Mittelfranken,Bayern,Germany,9.67893,47.5798,Western Europe
1450,1400,1,0,Regensburg,Mittelfranken,Bayern,Germany,12.1016,49.0134,Western Europe
