lon,lat
10.042,47.695
10.042,47.695
10.0708,48.0917
8.67243,49.3988
8.67243,49.3988
10.8978,48.3705
10.8978,48.3705
12.1016,49.0134
10.8978,48.3705
10.8978,48.3705
11.582,48.1351
12.1016,49.0134
12.1016,49.0134
12.1016,49.0134
12.1016,49.0134
10.4895,48.8508
12.1469,48.5442
10.4895,48.8508
10.3158,47.7286
11.582,48.1351
10.4895,48.8508
11.582,48.1351
12.5802,48.8777
12.1016,49.0134
12.1016,49.0134
9.67893,47.5798
12.1016,49.0134
12.1016,49.0134
11.582,48.1351
12.1016,49.0134
11.582,48.1351
12.1016,49.0134
10.8978,48.3705
11.582,48.1351
12.3225,47.7771
12.1016,49.0134
12.8311,48.1726
12.8311,48.1726
12.8311,48.1726
11.863,48.1909
10.4895,48.8508
12.8311,48.1726
12.1016,49.0134
12.4852,48.6435
10.5058,47.7713
12.8311,48.1726
12.1016,49.0134
12.8311,48.1726
12.8311,48.1726
12.1016,49.0134
9.67893,47.5798
11.863,48.1909
12.8311,48.1726
12.8311,48.1726
11.863,48.1909
12.4852,48.6435
11.8508,48.8177
10.2207,47.5592
10.4895,48.8508
10.8704,48.0508
11.863,48.1909
10.8978,48.3705
11.863,48.1909
11.582,48.1351
10.4895,48.8508
12.0294,48.7012
12.4852,48.6435
11.863,48.1909
10.4895,48.8508
12.8311,48.1726
11.4274,47.9102
10.1802,47.9838
10.8704,48.0508
12.8311,48.1726
11.4274,47.9102
10.8704,48.0508
10.4895,48.8508
10.8978,48.3705
12.1181,47.8571
13.4851,48.6148
12.8311,48.1726
11.4258,48.7665
12.1181,47.8571
10.2833,48.4167
12.8311,48.1726
12.1016,49.0134
12.8311,48.1726
10.4895,48.8508
11.582,48.1351
10.2922,47.5743
10.3695,48.5489
12.6384,47.8678
12.6621,49.2239
11.582,48.1351
12.8311,48.1726
11.582,48.1351
10.1561,48.3037
12.8311,48.1726
10.8978,48.3705
10.8978,48.3705
12.0294,48.7012
12.6384,47.8678
12.0294,48.7012
11.4258,48.7665
10.3158,47.7286
10.3158,47.7286
12.8311,48.1726
12.1016,49.0134
10.7778,48.7186
11.4672,49.2773
10.4895,48.8508
10.8978,48.3705
10.4895,48.8508
10.9262,49.1746
10.1213,48.1645
10.8978,48.3705
11.9601,49.1611
10.8978,48.3705
10.1802,47.9838
10.8978,48.3705
10.4108,48.4302
11.9601,49.1611
10.1802,47.9838
10.8978,48.3705
10.5672,48.6147
10.4895,48.8508
10.8978,48.3705
12.9301,47.9347
10.4895,48.8508
10.6021,48.9518
10.494,48.5791
10.494,48.5791
10.4713,48.9263
10.1802,47.9838
10.8943,47.815
10.1802,47.9838
10.6158,47.7785
10.2922,47.5743
10.1466,47.6764
10.494,48.5791
10.8978,48.3705
12.4852,48.6435
12.1469,48.5442
11.1421,47.8407
11.582,48.1351
11.582,48.1351
10.8978,48.3705
11.582,48.1351
10.8943,47.815
10.4895,48.8508
10.494,48.5791
11.8633,49.4403
11.4977,48.5325
10.4108,48.4302
9.67893,47.5798
11.7412,48.4029
10.43,48.5703
11.8633,49.4403
10.2922,47.5743
13.1966,48.4502
12.8816,47.7303
11.136,48.4577
10.8978,48.3705
10.2922,47.5743
10.2207,47.5592
10.8943,47.815
10.9209,48.6902
13.1284,48.9772
10.6021,48.9518
10.4895,48.8508
10.8978,48.3705
10.2922,47.5743
10.494,48.5791
10.43,48.5703
10.5672,48.6147
10.6158,47.7785
10.4895,48.8508
10.2922,47.5743
11.582,48.1351
10.494,48.5791
10.43,48.5703
10.5672,48.6147
10.43,48.5703
10.4738,48.8887
10.5672,48.6147
10.8978,48.3705
10.7557,48.18
11.9601,49.1611
11.4672,49.2773
10.494,48.5791
10.6477,48.6361
10.6854,48.6737
10.6854,48.6737
13.1966,48.4502
10.8943,47.815
11.582,48.1351
11.4258,48.7665
11.7412,48.4029
10.4895,48.8508
10.7557,48.18
10.8943,47.815
11.4258,48.7665
11.7412,48.4029
12.5802,48.8777
12.4313,48.1847
11.8508,48.8177
11.6227,48.766
11.1421,47.8407
11.7887,48.9352
11.8866,48.9184
11.4977,48.5325
11.4977,48.5325
11.9189,48.3115
11.4274,47.9102
11.339,48.0
10.8978,48.3705
10.5995,48.3983
10.7777,48.2281
10.5898,48.3476
10.7211,48.0361
10.6158,47.7785
10.55,47.5833
10.8296,48.2697
10.75,47.9
10.5099,47.914
10.5058,47.7713
10.471,47.7794
12.129,49.4468
10.5716,47.9083
10.8978,48.3705
10.7446,47.8779
10.7778,48.7186
10.4895,48.8508
10.1271,48.1225
11.4678,48.657
10.4738,48.8887
10.9682,48.9287
11.5652,47.7615
11.582,48.1351
11.7412,48.4029
11.646,48.1917
11.5652,47.7615
11.1421,47.8407
11.1421,47.8407
11.8508,48.8177
12.0093,47.864
13.1966,48.4502
13.1966,48.4502
12.6384,47.8678
10.9333,47.9
12.7575,48.4051
11.4339,48.263
11.7671,48.803
11.8866,48.9184
11.7412,48.4029
11.7412,48.4029
11.582,48.1351
11.4258,48.7665
10.8943,47.815
10.4895,48.8508
10.494,48.5791
10.7777,48.2281
10.5995,48.3983
10.8978,48.3705
10.626,47.883
10.55,47.5833
10.7557,48.18
12.3769,49.009
10.4738,48.8887
10.6158,47.7785
10.5037,47.6233
12.1016,49.0134
11.6227,48.766
9.67893,47.5798
11.582,48.1351
10.4895,48.8508
10.2922,47.5743
10.385,49.1075
10.5037,47.6233
10.8978,48.3705
10.6158,47.7785
10.7557,48.18
11.4258,48.7665
10.8943,47.815
10.4738,48.8887
10.5037,47.6233
10.2099,48.2175
10.1013,48.2253
10.4895,48.8508
11.339,48.0
10.4738,48.8887
12.3769,49.009
10.4895,48.8508
10.8978,48.3705
11.582,48.1351
11.6227,48.766
11.4258,48.7665
10.494,48.5791
12.1016,49.0134
12.1016,49.0134
10.43,48.5703
10.4108,48.4302
10.5995,48.3983
11.9601,49.1611
11.582,48.1351
10.7778,48.7186
10.4895,48.8508
10.5037,47.6233
10.8978,48.3705
10.494,48.5791
10.8115,48.1623
10.494,48.5791
11.7412,48.4029
9.6351,47.5786
10.43,48.5703
10.8978,48.3705
10.4895,48.8508
11.4258,48.7665
11.582,48.1351
10.8978,48.3705
11.582,48.1351
11.5652,47.7615
10.5898,48.3476
13.1966,48.4502
12.6384,47.8678
10.5898,48.3476
10.8978,48.3705
11.8508,48.8177
11.582,48.1351
12.4852,48.6435
11.6227,48.766
11.8508,48.8177
11.6918,48.9637
11.6227,48.766
12.1469,48.5442
11.8866,48.9184
11.4258,48.7665
12.6384,47.8678
10.7778,48.7186
10.8978,48.3705
11.1888,48.7303
10.3481,47.661
10.43,48.5703
11.582,48.1351
10.494,48.5791
10.43,48.5703
10.4895,48.8508
10.8978,48.3705
10.6854,48.6737
10.2922,47.5743
10.43,48.5703
12.0093,47.864
10.8978,48.3705
11.136,48.4577
11.1421,47.8407
11.0955,47.4917
11.4339,48.263
11.582,48.1351
10.9865,48.356
11.5005,48.8126
11.7412,48.4029
12.1181,47.8571
11.7833,49.0534
11.582,48.1351
11.0955,47.4917
11.7412,48.4029
10.494,48.5791
11.8831,49.0683
10.7778,48.7186
10.5355,47.7059
11.4339,48.263
12.4852,48.6435
10.7778,48.7186
12.0473,48.2578
11.6194,48.4063
10.8704,48.0508
12.1469,48.5442
11.7817,48.6431
11.582,48.1351
11.6119,48.6822
11.4977,48.5325
12.8816,47.7303
11.6918,48.9637
12.1181,47.8571
11.863,48.1909
11.582,48.1351
11.582,48.1351
11.6227,48.766
10.3158,47.7286
10.626,47.883
10.8296,48.2697
11.136,48.4577
12.8311,48.1726
10.7778,48.7186
11.3488,48.7558
11.6194,48.4063
10.8704,48.0508
12.1469,48.5442
11.582,48.1351
10.9209,48.6902
11.2631,48.5626
12.5802,48.8777
10.7223,48.8722
11.582,48.1351
11.582,48.1351
10.4675,48.2814
12.6384,47.8678
11.582,48.1351
11.4258,48.7665
12.9575,48.8409
10.7778,48.7186
13.1966,48.4502
11.4258,48.7665
10.8704,48.0508
11.7817,48.6431
11.582,48.1351
12.8816,47.7303
11.1421,47.8407
10.7223,48.8722
11.4274,47.9102
11.7833,49.0534
10.4895,48.8508
10.8978,48.3705
10.2922,47.5743
10.7778,48.7186
10.9865,48.356
11.5005,48.8126
11.7817,48.6431
12.4604,47.7614
11.582,48.1351
10.9209,48.6902
10.7223,48.8722
10.8978,48.3705
10.6792,48.5618
10.5995,48.3983
10.494,48.5791
11.4339,48.263
10.7778,48.7186
11.582,48.1351
11.4258,48.7665
12.8816,47.7303
11.5652,47.7615
11.6227,48.766
10.7223,48.8722
10.7223,48.8722
13.2379,49.0178
10.8978,48.3705
11.136,48.4577
11.4977,48.5325
11.863,48.1909
12.8816,47.7303
11.4258,48.7665
10.2833,48.4167
10.5995,48.3983
10.55,47.5833
10.494,48.5791
11.1888,48.7303
12.0417,49.2066
12.0093,47.864
11.136,48.4577
11.136,48.4577
11.582,48.1351
12.8517,49.1768
11.582,48.1351
11.4977,48.5325
13.1284,48.9772
12.1016,49.0134
11.339,48.0
11.1421,47.8407
10.8978,48.3705
13.4851,48.6148
13.4851,48.6148
11.136,48.4577
11.8508,48.8177
12.8311,48.1726
11.4339,48.263
10.9865,48.356
10.8704,48.0508
11.582,48.1351
11.8333,47.79
11.2041,47.6775
11.4977,48.5325
11.582,48.1351
11.5652,47.7615
12.6384,47.8678
12.2245,48.0527
10.7223,48.8722
11.4274,47.9102
10.3481,47.661
11.8508,48.8177
12.0093,47.864
11.4339,48.263
12.0473,48.2578
12.4604,47.7614
11.582,48.1351
12.1181,47.8571
12.1181,47.8571
11.5652,47.7615
12.6384,47.8678
12.2245,48.0527
10.494,48.5791
11.7833,49.0534
11.8831,49.0683
10.1466,47.6764
10.494,48.5791
13.3946,48.8592
12.0093,47.864
10.5355,47.7059
11.7412,48.4029
10.1466,47.6764
11.582,48.1351
11.7833,49.0534
11.1888,48.7303
10.55,47.5833
11.7412,48.4029
10.1802,47.9838
10.4895,48.8508
11.4258,48.7665
11.4258,48.7665
11.7671,48.803
11.4258,48.7665
13.2379,49.0178
11.582,48.1351
11.7817,48.6431
11.6918,48.9637
12.0093,47.864
11.4339,48.263
11.4258,48.7665
11.6227,48.766
12.0093,47.864
11.582,48.1351
10.8978,48.3705
10.494,48.5791
10.55,47.5833
11.582,48.1351
12.0093,47.864
10.7778,48.7186
11.4258,48.7665
10.4895,48.8508
12.1469,48.5442
12.8311,48.1726
10.494,48.5791
10.1466,47.6764
11.6918,48.9637
12.9575,48.8409
10.2207,47.5592
10.2922,47.5743
10.494,48.5791
10.8978,48.3705
10.2922,47.5743
10.8081,48.4247
11.083,48.1053
10.6792,48.5618
10.4108,48.4302
11.0168,48.7006
11.7833,49.0534
11.582,48.1351
11.4258,48.7665
10.8978,48.3705
10.4738,48.8887
11.4258,48.7665
12.4604,47.7614
11.339,48.0
11.582,48.1351
10.494,48.5791
10.6158,47.7785
11.582,48.1351
12.8311,48.1726
12.6384,47.8678
12.0093,47.864
10.8978,48.3705
13.3561,48.7737
12.1469,48.5442
10.2833,48.4167
10.43,48.5703
10.1802,47.9838
11.7833,49.0534
10.494,48.5791
10.2833,48.4167
9.6351,47.5786
10.494,48.5791
10.8978,48.3705
11.582,48.1351
10.4738,48.8887
11.4678,48.657
11.1888,48.7303
11.4678,48.657
10.5355,47.7059
11.4339,48.263
10.7778,48.7186
10.9865,48.356
11.3488,48.7558
11.4258,48.7665
10.4949,48.0462
11.582,48.1351
11.4977,48.5325
12.1181,47.8571
12.1181,47.8571
11.863,48.1909
11.6227,48.766
10.7223,48.8722
10.494,48.5791
10.8296,48.2697
10.7557,48.18
10.3667,48.25
11.6227,49.0853
10.6158,47.7785
10.4172,48.6187
10.4738,48.8887
10.3255,48.6736
10.8537,48.8427
13.2379,49.0178
12.5802,48.8777
11.2631,48.5626
10.9865,48.356
11.6918,48.9637
11.4274,47.9102
10.7223,48.8722
11.6227,48.766
10.4675,48.2814
11.339,48.0
11.136,48.4577
11.4258,48.7665
11.5652,47.7615
11.4678,48.657
11.1888,48.7303
10.7223,48.8722
11.4339,48.263
10.9865,48.356
11.4258,48.7665
11.6194,48.4063
11.7817,48.6431
12.4604,47.7614
11.582,48.1351
11.4977,48.5325
10.9209,48.6902
12.0294,48.7012
11.2631,48.5626
12.5802,48.8777
12.8517,49.1768
12.8832,49.0795
12.6804,48.976
12.6384,47.8678
11.1421,47.8407
10.8978,48.3705
9.6351,47.5786
11.4258,48.7665
11.7833,49.0534
10.7223,48.8722
11.7412,48.4029
10.43,48.5703
10.55,47.5833
11.4258,48.7665
11.582,48.1351
10.43,48.5703
11.7833,49.0534
10.5355,47.7059
12.1489,49.6744
12.2589,49.5976
12.4852,48.6435
10.2922,47.5743
12.6804,48.976
11.6194,48.4063
12.4604,47.7614
10.7223,48.8722
11.136,48.4577
11.1421,47.8407
10.7778,48.7186
11.6227,48.766
10.9209,48.6902
10.7223,48.8722
11.4339,48.263
12.4852,48.6435
12.1795,48.1619
11.582,48.1351
10.7223,48.8722
10.8978,48.3705
11.1888,48.7303
11.136,48.4577
12.7689,48.0581
12.5802,48.8777
10.5355,47.7059
11.582,48.1351
10.8978,48.3705
11.582,48.1351
12.0093,47.864
11.136,48.4577
12.6144,47.7242
13.3561,48.7737
13.0554,48.7703
10.2922,47.5743
10.7778,48.7186
10.3158,47.7286
9.6351,47.5786
11.4274,47.9102
11.4678,48.657
11.1888,48.7303
12.5802,48.8777
12.8832,49.0795
10.5355,47.7059
9.6351,47.5786
13.1284,48.9772
12.5802,48.8777
11.582,48.1351
10.9209,48.6902
10.9209,48.6902
11.7817,48.6431
12.8816,47.7303
11.6918,48.9637
12.6384,47.8678
12.5802,48.8777
12.0093,47.864
10.7764,47.7387
11.4339,48.263
11.863,48.1909
12.6384,47.8678
10.8978,48.3705
11.582,48.1351
10.5355,47.7059
10.1802,47.9838
12.6896,48.2413
10.7764,47.7387
11.4672,49.2773
12.1469,48.5442
9.90714,49.7333
12.1469,48.5442
10.8978,48.3705
12.4852,48.6435
12.5223,49.1941
10.1802,47.9838
11.8866,48.9184
9.6351,47.5786
10.5355,47.7059
9.6351,47.5786
13.0554,48.7703
10.8537,48.8427
9.6351,47.5786
10.8978,48.3705
10.4675,48.2814
11.339,48.0
11.6918,48.9637
11.6194,48.4063
12.0093,47.864
12.6384,47.8678
10.4675,48.2814
12.8311,48.1726
10.4675,48.2814
11.339,48.0
12.9396,48.419
11.1421,47.8407
12.4604,47.7614
10.4675,48.2814
11.4339,48.263
9.6351,47.5786
10.3476,47.8005
11.6194,48.4063
10.9209,48.6902
12.1181,47.8571
11.4274,47.9102
12.5802,48.8777
10.8978,48.3705
11.4678,48.657
11.8866,48.9184
12.5802,48.8777
10.1802,47.9838
9.6351,47.5786
12.1016,49.0134
10.3158,47.7286
10.43,48.5703
10.43,48.5703
10.1802,47.9838
11.4258,48.7665
11.7833,49.0534
11.8633,49.4403
11.6194,48.4063
12.0473,48.2578
10.8704,48.0508
11.7817,48.6431
12.4604,47.7614
10.4949,48.0462
11.582,48.1351
12.5061,48.3599
11.4977,48.5325
11.339,48.0
11.1421,47.8407
11.4274,47.9102
10.1802,47.9838
11.582,48.1351
11.9189,48.3115
10.8978,48.3705
12.6768,48.2246
11.4258,48.7665
10.5355,47.7059
11.4339,48.263
10.3255,48.6736
10.8978,48.3705
10.1802,47.9838
11.8633,49.4403
11.8633,49.4403
10.8978,48.3705
12.4852,48.6435
11.582,48.1351
10.1267,47.9016
12.6384,47.8678
11.3488,48.7558
10.4675,48.2814
12.1181,47.8571
11.339,48.0
10.4675,48.2814
11.4274,47.9102
11.339,48.0
11.1421,47.8407
10.4675,48.2814
12.6384,47.8678
11.339,48.0
11.4274,47.9102
11.1421,47.8407
12.1469,48.5442
10.4675,48.2814
11.1421,47.8407
10.1562,47.9042
11.582,48.1351
11.136,48.4577
11.4339,48.263
10.9865,48.356
11.8866,48.9184
11.9189,48.3115
12.6621,49.2239
12.1469,48.5442
11.7817,48.6431
11.7671,48.803
11.4977,48.5325
11.4977,48.5325
11.4977,48.5325
12.8816,47.7303
11.2631,48.5626
12.6384,47.8678
11.6227,48.766
12.2245,48.0527
11.1421,47.8407
10.8978,48.3705
10.8978,48.3705
12.4852,48.6435
11.7412,48.4029
10.3158,47.7286
10.2804,47.6257
10.1802,47.9838
12.6804,48.976
11.8508,48.8177
11.6194,48.4063
12.1469,48.5442
11.7817,48.6431
11.582,48.1351
11.7671,48.803
11.4977,48.5325
11.4977,48.5325
10.9209,48.6902
12.5802,48.8777
12.4852,48.6435
12.6384,47.8678
11.4274,47.9102
12.9301,47.9347
12.8209,47.8493
11.7412,48.4029
12.5553,48.0252
11.7412,48.4029
12.1016,49.0134
12.6621,49.2239
12.6384,47.8678
12.8311,48.1726
11.136,48.4577
10.9865,48.356
12.6804,48.976
12.6804,48.976
12.8816,47.7303
11.1421,47.8407
12.9575,48.8409
11.1421,47.8407
11.1421,47.8407
10.7778,48.7186
10.8704,48.0508
10.9861,48.2654
10.9865,48.356
13.4851,48.6148
12.8311,48.1726
10.7778,48.7186
11.4339,48.263
10.4675,48.2814
10.9865,48.356
12.6384,47.8678
11.1421,47.8407
10.9865,48.356
10.4675,48.2814
11.4274,47.9102
11.7817,48.6431
12.4852,48.6435
11.7671,48.803
10.4675,48.2814
11.5652,47.7615
12.8311,48.1726
11.4977,48.5325
11.8508,48.8177
11.2631,48.5626
11.4339,48.263
12.6804,48.976
12.6384,47.8678
12.5553,48.0252
11.6227,48.766
11.8508,48.8177
11.4977,48.5325
12.6384,47.8678
11.6227,48.766
11.582,48.1351
12.8816,47.7303
10.8978,48.3705
13.0001,47.6302
10.8537,48.8427
11.4339,48.263
11.582,48.1351
10.7223,48.8722
10.9209,48.6902
13.0554,48.7703
12.522,48.2458
9.67893,47.5798
10.5355,47.7059
12.7689,48.0581
12.9301,47.9347
12.8311,48.1726
10.4949,48.0462
10.8978,48.3705
10.1258,47.6407
10.8978,48.3705
11.7833,49.0534
12.0417,49.2066
12.1304,49.1218
11.1886,49.1891
11.7833,49.0534
11.9359,48.4702
10.3158,47.7286
10.9209,48.6902
10.8978,48.3705
12.1016,49.0134
12.8311,48.1726
11.582,48.1351
11.6227,48.766
12.6384,47.8678
11.4977,48.5325
11.4977,48.5325
11.6194,48.4063
12.6804,48.976
10.4675,48.2814
11.1421,47.8407
10.4675,48.2814
11.4339,48.263
11.1421,47.8407
10.9865,48.356
10.8704,48.0508
11.6227,48.766
11.2631,48.5626
10.9209,48.6902
11.4977,48.5325
12.6804,48.976
11.4977,48.5325
10.8704,48.0508
11.1421,47.8407
12.6804,48.976
10.9209,48.6902
11.4977,48.5325
11.1421,47.8407
11.6227,48.766
12.6804,48.976
11.1421,47.8407
11.6194,48.4063
11.4339,48.263
10.4949,48.0462
11.4339,48.263
11.2631,48.5626
12.1181,47.8571
10.9209,48.6902
11.136,48.4577
12.0093,47.864
11.4977,48.5325
11.5652,47.7615
13.1822,48.8982
12.6804,48.976
11.4274,47.9102
10.9865,48.356
10.6428,48.0616
12.1469,48.5442
11.8508,48.8177
12.1181,47.8571
11.3488,48.7558
10.4675,48.2814
11.136,48.4577
10.9861,48.2654
10.9865,48.356
11.8508,48.8177
12.6896,48.2413
11.2631,48.5626
11.6227,48.766
10.4675,48.2814
12.8311,48.1726
12.8311,48.1726
11.4977,48.5325
10.4949,48.0462
11.582,48.1351
10.8978,48.3705
11.8866,48.9184
10.43,48.5703
12.1016,49.0134
10.7764,47.7387
12.5061,48.3599
12.1016,49.0134
11.582,48.1351
12.1016,49.0134
10.7778,48.7186
12.8311,48.1726
10.5355,47.7059
11.6918,48.9637
12.9301,47.9347
10.8978,48.3705
12.1016,49.0134
10.626,47.883
12.5802,48.8777
10.8978,48.3705
10.1802,47.9838
11.1421,47.8407
12.8311,48.1726
13.0554,48.7703
10.8978,48.3705
10.1802,47.9838
11.6704,49.2312
10.3158,47.7286
11.339,48.0
10.626,47.883
12.8311,48.1726
11.4977,48.5325
12.6804,48.976
12.5802,48.8777
10.4949,48.0462
10.7778,48.7186
10.7778,48.7186
12.5802,48.8777
11.4977,48.5325
12.1469,48.5442
12.1795,48.1619
12.1181,47.8571
12.2245,48.0527
12.0093,47.864
12.5802,48.8777
12.8311,48.1726
11.582,48.1351
10.9865,48.356
11.4339,48.263
11.6194,48.4063
12.4604,47.7614
10.8704,48.0508
12.6804,48.976
10.8704,48.0508
12.2245,48.0527
12.8816,47.7303
11.7817,48.6431
11.8633,49.4403
11.6227,48.766
11.6194,48.4063
12.8311,48.1726
11.4274,47.9102
10.9861,48.2654
11.2631,48.5626
10.4675,48.2814
10.4949,48.0462
12.6384,47.8678
11.136,48.4577
11.8633,49.4403
10.4675,48.2814
11.136,48.4577
10.8704,48.0508
11.4339,48.263
10.9209,48.6902
11.4274,47.9102
11.0955,47.4917
12.5802,48.8777
12.8517,49.1768
10.626,47.883
10.5672,48.6147
12.2589,49.5976
11.136,48.4577
12.8311,48.1726
12.4852,48.6435
12.1016,49.0134
11.8866,48.9184
12.6384,47.8678
12.2245,48.0527
13.0554,48.7703
13.0554,48.7703
12.1016,49.0134
11.6918,48.9637
12.1469,48.5442
11.582,48.1351
10.1802,47.9838
12.8816,47.7303
12.1016,49.0134
10.1802,47.9838
11.7817,48.6431
12.6804,48.976
10.626,47.883
12.1016,49.0134
12.6804,48.976
10.8978,48.3705
13.4622,48.7215
13.0554,48.7703
10.1802,47.9838
13.3561,48.7737
11.8866,48.9184
13.1284,48.9772
10.5355,47.7059
10.5355,47.7059
10.2922,47.5743
12.3526,48.4509
13.0554,48.7703
12.6804,48.976
12.6804,48.976
12.6804,48.976
12.6804,48.976
12.6804,48.976
12.9575,48.8409
12.8311,48.1726
11.8866,48.9184
12.5802,48.8777
12.1795,48.1619
12.6804,48.976
12.8311,48.1726
10.4675,48.2814
12.0093,47.864
11.4977,48.5325
10.4675,48.2814
12.8311,48.1726
11.5652,47.7615
11.1421,47.8407
12.6804,48.976
11.8508,48.8177
11.4339,48.263
12.6804,48.976
12.6804,48.976
12.0417,49.2066
11.8508,48.8177
11.136,48.4577
12.6928,48.9128
13.0554,48.7703
10.8943,47.815
12.5802,48.8777
12.1795,48.1619
10.8978,48.3705
12.5802,48.8777
10.9209,48.6902
12.5802,48.8777
11.8633,49.4403
11.4339,48.263
13.0554,48.7703
13.0554,48.7703
10.9209,48.6902
11.7817,48.6431
11.8633,49.4403
11.582,48.1351
10.7778,48.7186
10.8978,48.3705
11.8633,49.4403
10.9209,48.6902
12.4852,48.6435
11.9359,48.4702
11.0997,47.5165
11.7412,48.4029
12.2245,48.0527
12.4852,48.6435
10.3158,47.7286
10.8978,48.3705
10.4206,47.8462
12.1795,48.1619
11.9189,48.3115
12.522,48.2458
10.5672,48.6147
11.7412,48.4029
11.7412,48.4029
12.9575,48.8409
10.1802,47.9838
10.3158,47.7286
12.0417,49.2066
11.8633,49.4403
11.582,48.1351
12.8311,48.1726
12.6621,49.2239
12.6804,48.976
12.6804,48.976
10.4675,48.2814
12.6804,48.976
12.6804,48.976
12.6804,48.976
12.6804,48.976
12.6804,48.976
12.9575,48.8409
11.9189,48.3115
10.4949,48.0462
11.582,48.1351
11.582,48.1351
11.6918,48.9637
11.5005,48.8126
10.7778,48.7186
12.7689,48.0581
10.7557,48.18
10.7557,48.18
10.7778,48.7186
11.7412,48.4029
11.6194,48.4063
11.4339,48.263
11.582,48.1351
10.1802,47.9838
12.6804,48.976
11.9359,48.4702
11.0997,47.5165
11.582,48.1351
11.9189,48.3115
11.582,48.1351
11.9359,48.4702
11.7412,48.4029
10.8537,48.8427
10.8978,48.3705
10.626,47.883
11.1257,49.1341
10.6428,48.0616
11.6194,48.4063
10.3007,47.941
10.8978,48.3705
12.0417,49.2066
13.0554,48.7703
12.5223,49.1941
13.1829,48.627
11.9359,48.4702
10.494,48.5791
10.3158,47.7286
10.8296,48.2697
10.8978,48.3705
11.6194,48.4063
11.582,48.1351
11.7412,48.4029
12.6804,48.976
12.6804,48.976
12.6804,48.976
9.67893,47.5798
10.7557,48.18
12.0093,47.864
11.4977,48.5325
12.1181,47.8571
10.626,47.883
9.67893,47.5798
10.3158,47.7286
10.5058,47.7713
12.0417,49.2066
10.8978,48.3705
10.5058,47.7713
12.6804,48.976
12.6804,48.976
12.8311,48.1726
12.5802,48.8777
10.8943,47.815
11.9189,48.3115
12.0417,49.2066
10.1802,47.9838
10.626,47.883
12.1469,48.5442
10.494,48.5791
12.1016,49.0134
11.7554,49.497
12.522,48.2458
12.5061,48.3599
12.1469,48.5442
12.8311,48.1726
12.1181,47.8571
9.67893,47.5798
10.1802,47.9838
12.522,48.2458
12.5802,48.8777
12.0417,49.2066
12.8311,48.1726
12.3526,48.4509
12.1469,48.5442
10.626,47.883
9.67893,47.5798
12.1016,49.0134
10.1802,47.9838
12.1469,48.5442
10.5058,47.7713
11.7412,48.4029
12.8311,48.1726
12.1469,48.5442
10.3158,47.7286
12.1469,48.5442
10.9209,48.6902
12.1469,48.5442
12.8311,48.1726
9.67893,47.5798
12.0417,49.2066
10.7211,48.0361
11.339,48.0
10.1802,47.9838
10.43,48.5703
10.3158,47.7286
10.1802,47.9838
10.5898,48.3476
13.0443,48.2557
13.4327,48.4605
13.0443,48.2557
13.1487,48.1066
